MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2015,2015,PC,Percentage,0,Units,,,1.5169008859723,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2016,2016,PC,Percentage,0,Units,,,1.65130277444895,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2017,2017,PC,Percentage,0,Units,,,1.6705305829213,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2018,2018,PC,Percentage,0,Units,,,1.6413431798645,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2019,2019,PC,Percentage,0,Units,,,1.71810381027709,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2020,2020,PC,Percentage,0,Units,,,1.59424744453689,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,AUT,Austria,2021,2021,PC,Percentage,0,Units,,,1.72455938363654,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,1.4228243533619,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,BEL,Belgium,2017,2017,PC,Percentage,0,Units,,,1.69312578516441,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,BEL,Belgium,2019,2019,PC,Percentage,0,Units,,,2.02936703963285,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,BEL,Belgium,2021,2021,PC,Percentage,0,Units,,,2.20940772437217,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,0.74425717717832,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2016,2016,PC,Percentage,0,Units,,,0.73743480117599,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2017,2017,PC,Percentage,0,Units,,,0.72646464306719,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2018,2018,PC,Percentage,0,Units,,,0.76938732150245,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2019,2019,PC,Percentage,0,Units,,,0.77080243762543,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2020,2020,PC,Percentage,0,Units,,,0.82138553030958,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,CAN,Canada,2021,2021,PC,Percentage,0,Units,,,0.74744443178205,p,Provisional value
