MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2015,2015,PC,Percentage,0,Units,,,0.99390700702471,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2016,2016,PC,Percentage,0,Units,,,0.94555224513325,d; e,Definition differs; Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2017,2017,PC,Percentage,0,Units,,,0.84409714516553,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2018,2018,PC,Percentage,0,Units,,,0.93531075500042,d; e,Definition differs; Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2019,2019,PC,Percentage,0,Units,,,0.84485053914255,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2020,2020,PC,Percentage,0,Units,,,1.06717760182539,d; e,Definition differs; Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,AUT,Austria,2021,2021,PC,Percentage,0,Units,,,0.92688497539583,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,0.54647284602356,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,BEL,Belgium,2017,2017,PC,Percentage,0,Units,,,0.53214008939668,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,BEL,Belgium,2019,2019,PC,Percentage,0,Units,,,0.56243606062638,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,BEL,Belgium,2021,2021,PC,Percentage,0,Units,,,0.59212120645282,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,0.52184415413469,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2016,2016,PC,Percentage,0,Units,,,0.53427859800003,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2017,2017,PC,Percentage,0,Units,,,0.54740612741697,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2018,2018,PC,Percentage,0,Units,,,0.54426515481901,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2019,2019,PC,Percentage,0,Units,,,0.55325919371982,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2020,2020,PC,Percentage,0,Units,,,0.59986034183215,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2021,2021,PC,Percentage,0,Units,,,0.52402397496352,e; p,Estimated value; Provisional value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CAN,Canada,2022,2022,PC,Percentage,0,Units,,,0.47986717673293,e; p,Estimated value; Provisional value
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2015,2015,PC,Percentage,0,Units,,,0.61751714130175,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2016,2016,PC,Percentage,0,Units,,,0.59486628931375,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2017,2017,PC,Percentage,0,Units,,,0.61111274958408,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2018,2018,PC,Percentage,0,Units,,,0.64753396426122,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2019,2019,PC,Percentage,0,Units,,,0.64889771178372,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2020,2020,PC,Percentage,0,Units,,,0.67556591362153,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,CZE,Czechia,2021,2021,PC,Percentage,0,Units,,,0.64508279447223,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,DNK,Denmark,2015,2015,PC,Percentage,0,Units,,,0.9225301450831,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DNK,Denmark,2017,2017,PC,Percentage,0,Units,,,0.83079490658216,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DNK,Denmark,2019,2019,PC,Percentage,0,Units,,,0.83004651192155,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2015,2015,PC,Percentage,0,Units,,,0.82957636539963,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2016,2016,PC,Percentage,0,Units,,,0.786555595399,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2017,2017,PC,Percentage,0,Units,,,0.79133543378067,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2018,2018,PC,Percentage,0,Units,,,0.77961295628411,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2019,2019,PC,Percentage,0,Units,,,0.7780019845075,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2020,2020,PC,Percentage,0,Units,,,0.80604777388484,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FIN,Finland,2021,2021,PC,Percentage,0,Units,,,0.76356249003667,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2015,2015,PC,Percentage,0,Units,,,0.78916564169372,s,Unrevised breakdown not adding to the revised total
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2016,2016,PC,Percentage,0,Units,,,0.72097954057263,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2017,2017,PC,Percentage,0,Units,,,0.7142090384905,s,Unrevised breakdown not adding to the revised total
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2018,2018,PC,Percentage,0,Units,,,0.69268927341614,s,Unrevised breakdown not adding to the revised total
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2019,2019,PC,Percentage,0,Units,,,0.68716325454795,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2020,2020,PC,Percentage,0,Units,,,0.72481356685591,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,FRA,France,2021,2021,PC,Percentage,0,Units,,,0.72028333220039,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2015,2015,PC,Percentage,0,Units,,,0.81843938562809,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2016,2016,PC,Percentage,0,Units,,,0.83867111785985,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2017,2017,PC,Percentage,0,Units,,,0.84466135726441,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2018,2018,PC,Percentage,0,Units,,,0.86611023785824,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2019,2019,PC,Percentage,0,Units,,,0.88058524341486,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2020,2020,PC,Percentage,0,Units,,,0.93011019950848,d; e,Definition differs; Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,DEU,Germany,2021,2021,PC,Percentage,0,Units,,,0.93752628509033,d,Definition differs
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2015,2015,PC,Percentage,0,Units,,,0.51255075054329,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2016,2016,PC,Percentage,0,Units,,,0.42795695065454,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2017,2017,PC,Percentage,0,Units,,,0.43352478516625,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2018,2018,PC,Percentage,0,Units,,,0.49303375408806,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2019,2019,PC,Percentage,0,Units,,,0.52456698314976,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2020,2020,PC,Percentage,0,Units,,,0.64341712293402,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,GRC,Greece,2021,2021,PC,Percentage,0,Units,,,0.64745719029185,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2015,2015,PC,Percentage,0,Units,,,0.46381985432207,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2016,2016,PC,Percentage,0,Units,,,0.3096623146688,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2017,2017,PC,Percentage,0,Units,,,0.42005301267682,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2018,2018,PC,Percentage,0,Units,,,0.48770510601057,b,Time series break
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2019,2019,PC,Percentage,0,Units,,,0.49018518134352,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2020,2020,PC,Percentage,0,Units,,,0.51738982300226,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,HUN,Hungary,2021,2021,PC,Percentage,0,Units,,,0.57609501597408,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2015,2015,PC,Percentage,0,Units,,,0.62840140675563,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2016,2016,PC,Percentage,0,Units,,,0.67492953857831,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2017,2017,PC,Percentage,0,Units,,,0.68412481910229,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2018,2018,PC,Percentage,0,Units,,,0.66280721266816,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2019,2019,PC,Percentage,0,Units,,,0.62633400385839,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2020,2020,PC,Percentage,0,Units,,,0.69041764903832,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,ISL,Iceland,2021,2021,PC,Percentage,0,Units,,,0.70097657667973,b,Time series break
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2015,2015,PC,Percentage,0,Units,,,0.30799960379778,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2016,2016,PC,Percentage,0,Units,,,0.30386522758574,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2017,2017,PC,Percentage,0,Units,,,0.29732590561411,e,Estimated value
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2018,2018,PC,Percentage,0,Units,,,0.28765485865387,e; p,Estimated value; Provisional value
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2019,2019,PC,Percentage,0,Units,,,0.27729802692365,e; p,Estimated value; Provisional value
G_FGXGDP,Government-financed GERD as a percentage of GDP,IRL,Ireland,2021,2021,PC,Percentage,0,Units,,,0.18618562836748,b,Time series break
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2015,2015,PC,Percentage,0,Units,,,0.50835621362185,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2016,2016,PC,Percentage,0,Units,,,0.48141900856877,b,Time series break
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2017,2017,PC,Percentage,0,Units,,,0.44223366583116,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2018,2018,PC,Percentage,0,Units,,,0.4665984566255,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2019,2019,PC,Percentage,0,Units,,,0.4724465581331,,
G_FGXGDP,Government-financed GERD as a percentage of GDP,ITA,Italy,2020,2020,PC,Percentage,0,Units,,,0.50769277357845,,
