MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2015,2015,NBR,Number,0,Units,,,392.3169,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2016,2016,NBR,Number,0,Units,,,386.5376,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2017,2017,NBR,Number,0,Units,,,348.6326,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2018,2018,NBR,Number,0,Units,,,337.8524,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2019,2019,NBR,Number,0,Units,,,317.0631,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUS,Australia,2020,2020,NBR,Number,0,Units,,,252.8342,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2015,2015,NBR,Number,0,Units,,,150.9262,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2016,2016,NBR,Number,0,Units,,,170.0869,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2017,2017,NBR,Number,0,Units,,,168.8667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2018,2018,NBR,Number,0,Units,,,160.8836,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2019,2019,NBR,Number,0,Units,,,148.337,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),AUT,Austria,2020,2020,NBR,Number,0,Units,,,142.9024,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2015,2015,NBR,Number,0,Units,,,205.5344,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2016,2016,NBR,Number,0,Units,,,192.9917,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2017,2017,NBR,Number,0,Units,,,184.3063,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2018,2018,NBR,Number,0,Units,,,152.4508,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2019,2019,NBR,Number,0,Units,,,149.6929,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),BEL,Belgium,2020,2020,NBR,Number,0,Units,,,122.3551,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2015,2015,NBR,Number,0,Units,,,876.4912,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2016,2016,NBR,Number,0,Units,,,890.6315,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2017,2017,NBR,Number,0,Units,,,814.5361,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2018,2018,NBR,Number,0,Units,,,859.2988,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2019,2019,NBR,Number,0,Units,,,899.6928,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CAN,Canada,2020,2020,NBR,Number,0,Units,,,998.5757,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2015,2015,NBR,Number,0,Units,,,20.65,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2016,2016,NBR,Number,0,Units,,,20.0452,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2017,2017,NBR,Number,0,Units,,,29.3587,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2018,2018,NBR,Number,0,Units,,,18.0714,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2019,2019,NBR,Number,0,Units,,,29.225,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CZE,Czechia,2020,2020,NBR,Number,0,Units,,,15.3907,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2015,2015,NBR,Number,0,Units,,,150.0857,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2016,2016,NBR,Number,0,Units,,,131.8512,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2017,2017,NBR,Number,0,Units,,,118.4357,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2018,2018,NBR,Number,0,Units,,,133.9624,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2019,2019,NBR,Number,0,Units,,,218.0492,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DNK,Denmark,2020,2020,NBR,Number,0,Units,,,230.2508,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2015,2015,NBR,Number,0,Units,,,491.5889,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2016,2016,NBR,Number,0,Units,,,479.9791,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2017,2017,NBR,Number,0,Units,,,573.1576,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2018,2018,NBR,Number,0,Units,,,580.3635,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2019,2019,NBR,Number,0,Units,,,523.6581,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FIN,Finland,2020,2020,NBR,Number,0,Units,,,544.3187,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2015,2015,NBR,Number,0,Units,,,1319.3017,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2016,2016,NBR,Number,0,Units,,,1259.9145,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2017,2017,NBR,Number,0,Units,,,1279.8193,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2018,2018,NBR,Number,0,Units,,,1316.6034,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2019,2019,NBR,Number,0,Units,,,1296.1869,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),FRA,France,2020,2020,NBR,Number,0,Units,,,1148.7619,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2015,2015,NBR,Number,0,Units,,,2496.9273,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2016,2016,NBR,Number,0,Units,,,2590.8803,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2017,2017,NBR,Number,0,Units,,,2900.2635,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2018,2018,NBR,Number,0,Units,,,3033.5127,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2019,2019,NBR,Number,0,Units,,,3040.1665,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),DEU,Germany,2020,2020,NBR,Number,0,Units,,,2877.4647,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2015,2015,NBR,Number,0,Units,,,11.4444,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2016,2016,NBR,Number,0,Units,,,21.6224,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2017,2017,NBR,Number,0,Units,,,20.4333,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2018,2018,NBR,Number,0,Units,,,19.9476,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2019,2019,NBR,Number,0,Units,,,32.6859,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GRC,Greece,2020,2020,NBR,Number,0,Units,,,18.825,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2015,2015,NBR,Number,0,Units,,,55.1917,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2016,2016,NBR,Number,0,Units,,,71.0131,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2017,2017,NBR,Number,0,Units,,,54.2976,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2018,2018,NBR,Number,0,Units,,,77.0786,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2019,2019,NBR,Number,0,Units,,,58.4369,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),HUN,Hungary,2020,2020,NBR,Number,0,Units,,,75.0016,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ISL,Iceland,2015,2015,NBR,Number,0,Units,,,2.25,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ISL,Iceland,2016,2016,NBR,Number,0,Units,,,0.0,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ISL,Iceland,2017,2017,NBR,Number,0,Units,,,2.75,,
