MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2015,2015,NBR,Number,0,Units,,,165.9957,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2016,2016,NBR,Number,0,Units,,,162.4783,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2017,2017,NBR,Number,0,Units,,,173.5997,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2018,2018,NBR,Number,0,Units,,,178.2355,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2019,2019,NBR,Number,0,Units,,,181.7912,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUS,Australia,2020,2020,NBR,Number,0,Units,,,190.3518,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2015,2015,NBR,Number,0,Units,,,77.5512,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2016,2016,NBR,Number,0,Units,,,62.5652,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2017,2017,NBR,Number,0,Units,,,69.3199,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2018,2018,NBR,Number,0,Units,,,76.3794,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2019,2019,NBR,Number,0,Units,,,67.125,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),AUT,Austria,2020,2020,NBR,Number,0,Units,,,84.74,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2015,2015,NBR,Number,0,Units,,,130.118,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2016,2016,NBR,Number,0,Units,,,141.3519,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2017,2017,NBR,Number,0,Units,,,141.547,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2018,2018,NBR,Number,0,Units,,,124.7668,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2019,2019,NBR,Number,0,Units,,,183.1268,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),BEL,Belgium,2020,2020,NBR,Number,0,Units,,,168.4819,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2015,2015,NBR,Number,0,Units,,,258.0408,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2016,2016,NBR,Number,0,Units,,,239.1242,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2017,2017,NBR,Number,0,Units,,,253.6605,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2018,2018,NBR,Number,0,Units,,,284.3889,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2019,2019,NBR,Number,0,Units,,,251.9957,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CAN,Canada,2020,2020,NBR,Number,0,Units,,,294.9146,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2015,2015,NBR,Number,0,Units,,,14.3333,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2016,2016,NBR,Number,0,Units,,,8.0269,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2017,2017,NBR,Number,0,Units,,,11.8333,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2018,2018,NBR,Number,0,Units,,,7.0,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2019,2019,NBR,Number,0,Units,,,11.5333,,
P_BIOPCT,Number of  patents in the biotechnology sector - applications filed under the PCT (priority year),CZE,Czechia,2020,2020,NBR,Number,0,Units,,,12.9869,,
