MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2015,2015,NBR,Number,0,Units,,,350.5935,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2016,2016,NBR,Number,0,Units,,,366.5414,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2017,2017,NBR,Number,0,Units,,,371.8898,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2018,2018,NBR,Number,0,Units,,,385.7861,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2019,2019,NBR,Number,0,Units,,,365.135,e,Estimated value
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUS,Australia,2020,2020,NBR,Number,0,Units,,,375.9081,e,Estimated value
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2015,2015,NBR,Number,0,Units,,,403.6615,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2016,2016,NBR,Number,0,Units,,,375.6915,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2017,2017,NBR,Number,0,Units,,,440.4397,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2018,2018,NBR,Number,0,Units,,,442.6688,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2019,2019,NBR,Number,0,Units,,,422.7293,e,Estimated value
P_TRIAD,"Number of ""triadic"" patent families (priority year)",AUT,Austria,2020,2020,NBR,Number,0,Units,,,436.868,e,Estimated value
P_TRIAD,"Number of ""triadic"" patent families (priority year)",BEL,Belgium,2015,2015,NBR,Number,0,Units,,,424.6147,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",BEL,Belgium,2016,2016,NBR,Number,0,Units,,,425.5141,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",BEL,Belgium,2017,2017,NBR,Number,0,Units,,,411.0294,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",BEL,Belgium,2018,2018,NBR,Number,0,Units,,,412.9282,,
P_TRIAD,"Number of ""triadic"" patent families (priority year)",BEL,Belgium,2019,2019,NBR,Number,0,Units,,,394.6998,e,Estimated value
